MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
5666849,160012156,01/01/2016,01/01/2016,17:00:00,01/01/2016,19:50:00,101,,,847 PARSONS ST SW,0640,2305,,1,Eve,Fri,13,LARCENY-FROM VEHICLE,Atlanta University Center,T,-84.415350000000004,33.750920000000001
5666842,160012002,01/01/2016,01/01/2016,16:30:00,01/01/2016,18:30:00,202,,,3539 NORTHSIDE PKWY NW,0640,2305,,1,Eve,Fri,18,LARCENY-FROM VEHICLE,Randall Mill,A,-84.430329999999998,33.851289999999999
5666807,160010621,01/02/2016,01/01/2016,00:30:00,01/01/2016,01:30:00,309,,,2608 METROPOLITAN PKWY,0640,2305,,1,Morn,Fri,,LARCENY-FROM VEHICLE,Perkerson,X,-84.407219999999995,33.683790000000002
5666814,160011010,01/01/2016,01/01/2016,05:00:00,01/01/2016,08:04:00,409,,,2997 CAMPBELLTON RD SW,0640,2305,,1,Morn,Fri,3,LARCENY-FROM VEHICLE,Southwest,R,-84.486230000000006,33.695959999999999
5666834,160011717,01/01/2016,01/01/2016,15:51:00,01/01/2016,15:51:00,411,,,2841 GREENBRIAR PKWY SW,0640,2305,,1,Eve,Fri,18,LARCENY-FROM VEHICLE,Greenbriar,R,-84.489170000000001,33.689920000000001
5666826,160011513,01/01/2016,01/01/2016,12:00:00,01/01/2016,14:00:00,411,,S6,3000 STONE HOGAN CONN SW,0650,2304,,1,Day,Fri,18,LARCENY-FROM VEHICLE,Greenbriar,R,-84.496970000000005,33.674239999999998
5666809,160010680,01/01/2016,01/01/2016,02:35:00,01/01/2016,03:30:00,505,,,61 NORTH AVE NE,0640,2305,,1,Morn,Fri,18,LARCENY-FROM VEHICLE,Downtown,M,-84.38476,33.771189999999997
5666987,160031856,01/03/2016,01/01/2016,01:00:00,01/01/2016,11:00:00,512,,,232 FORSYTH ST SW @GREYHOUND BUS DEPOT,0640,2305,,1,Morn,Fri,,LARCENY-FROM VEHICLE,Downtown,M,-84.396360000000001,33.748519999999999
5666804,160010568,01/01/2016,01/01/2016,03:37:00,01/01/2016,03:37:00,602,,,820 RALPH MC GILL NE,0640,2305,,1,Morn,Fri,,LARCENY-FROM VEHICLE,Poncey-Highland,N,-84.361490000000003,33.768799999999999
5666871,160020983,01/02/2016,01/01/2016,06:00:00,01/02/2016,08:30:00,105,,,1381 SHARON ST NW,0640,2305,,1,Unk,Fri,20,LARCENY-FROM VEHICLE,Hunter Hills,K,-84.432689999999994,33.754860000000001
5666896,160021549,01/02/2016,01/01/2016,23:00:00,01/02/2016,14:11:00,112,,,2868 ENGLE RD NW,0640,2305,,1,Morn,Sat,13,LARCENY-FROM VEHICLE,Collier Heights,I,-84.481059999999999,33.769590000000001
5666880,160021180,01/02/2016,01/01/2016,10:00:00,01/02/2016,10:00:00,211,,,2163 PIEDMONT RD NE,0650,2304,,1,Unk,Fri,18,LARCENY-FROM VEHICLE,Lindridge/Martin Manor,F,-84.366370000000003,33.816180000000003
5666860,160020071,01/02/2016,01/01/2016,22:00:00,01/02/2016,00:01:00,303,,,555 WHITEHALL ST SW,0640,2305,,1,Morn,Fri,18,LARCENY-FROM VEHICLE,Mechanicsville,V,-84.406279999999995,33.74297
5666890,160021345,01/02/2016,01/01/2016,22:00:00,01/02/2016,12:00:00,501,,,401 10TH ST NW,0640,2305,,1,Morn,Sat,13,LARCENY-FROM VEHICLE,Home Park,E,-84.40025,33.781930000000003
5666881,160021194,01/02/2016,01/01/2016,21:00:00,01/02/2016,10:00:00,610,,,2338 1ST AVE NE,0640,2305,,1,Morn,Sat,13,LARCENY-FROM VEHICLE,Kirkwood,O,-84.310839999999999,33.753959999999999
5666975,160031450,01/03/2016,01/01/2016,19:00:00,01/03/2016,06:30:00,410,,,1994 BENT CREEK WAY SW,0640,2305,,1,Unk,Unk,26,LARCENY-FROM VEHICLE,Campbellton Road,R,-84.465739999999997,33.700499999999998
5667040,160041447,01/04/2016,01/01/2016,16:00:00,01/03/2016,20:00:00,503,,,35 14TH ST NE,0640,2305,,1,Unk,Unk,14,LARCENY-FROM VEHICLE,Midtown,E,-84.386390000000006,33.786259999999999
5669992,160431553,02/12/2016,01/01/2016,12:00:00,02/12/2016,11:43:00,105,,,1423 AKRIDGE ST NW,0650,2304,,1,Unk,Unk,18,LARCENY-FROM VEHICLE,Hunter Hills,K,-84.434449999999998,33.75855
5666847,160012142,01/01/2016,01/01/2016,19:45:00,01/01/2016,20:00:00,101,,,600 GREENSFERRY AVE SW,0650,2304,,2,Eve,Fri,20,LARCENY-FROM VEHICLE,The Villages at Castleberry H,T,-84.407870000000003,33.746099999999998
5666824,160011504,01/01/2016,01/01/2016,03:00:00,01/01/2016,13:56:00,203,,2115,1040 HUFF RD NW,0640,2305,,2,Day,Fri,13,LARCENY-FROM VEHICLE,Blandtown,D,-84.422039999999996,33.789479999999998
5666806,160010606,01/01/2016,01/01/2016,01:00:00,01/01/2016,02:57:00,501,,,760 10TH ST,0640,2305,,2,Morn,Fri,13,LARCENY-FROM VEHICLE,Home Park,E,-84.412660000000002,33.781399999999998
5666854,160012305,01/01/2016,01/01/2016,12:00:00,01/01/2016,21:30:00,608,,,1641 CLIFTON TER NE/ 613 TERRACE AVE NE,0640,2305,,2,Eve,Fri,20,LARCENY-FROM VEHICLE,Candler Park,N,-84.333690000000004,33.771459999999998
5666927,160022676,01/02/2016,01/02/2016,20:50:00,01/02/2016,21:20:00,205,,,1991 HOWELL MILL RD NW,0640,2305,,1,Eve,Sat,18,LARCENY-FROM VEHICLE,Channing Valley,C,-84.412859999999995,33.809440000000002
5666895,160021531,01/02/2016,01/02/2016,12:00:00,01/02/2016,13:59:00,206,,,130 W PACES FERRY RD NW,0640,2305,,1,Day,Sat,,LARCENY-FROM VEHICLE,Peachtree Heights West,B,-84.386269999999996,33.841920000000002
5666879,160021177,01/02/2016,01/02/2016,09:30:00,01/02/2016,10:00:00,208,,,3255 PEACHTREE RD NE @CALL BOX 8,0640,2305,,1,Day,Sat,18,LARCENY-FROM VEHICLE,Peachtree Park,B,-84.370829999999998,33.843910000000001
5666924,160022570,01/02/2016,01/02/2016,20:00:00,01/02/2016,20:41:00,209,,,3861 ROSWELL RD NE,0640,2305,,1,Eve,Sat,18,LARCENY-FROM VEHICLE,North Buckhead,B,-84.37979,33.8596
5666932,160022780,01/02/2016,01/02/2016,19:10:00,01/02/2016,21:35:00,212,,,2349 CHESHIRE BRIDGE RD NE,0640,2305,,1,Eve,Sat,99,LARCENY-FROM VEHICLE,Lindridge/Martin Manor,F,-84.350859999999997,33.819240000000001
5666940,160023016,01/02/2016,01/02/2016,18:00:00,01/02/2016,23:45:00,305,,,59 GAMMON AVE SE,0640,2305,,1,Eve,Sat,20,LARCENY-FROM VEHICLE,South Atlanta,Y,-84.386240000000001,33.718060000000001
5666935,160022879,01/02/2016,01/02/2016,23:11:00,01/02/2016,23:15:00,401,,A,979 HOWELL PL SW,0640,2305,,1,Morn,Sat,26,LARCENY-FROM VEHICLE,West End,T,-84.419780000000003,33.739170000000001
5666902,160021871,01/02/2016,01/02/2016,16:20:00,01/02/2016,16:43:00,411,,,2975 HEADLAND DR SW @BIG LOTS - HEADLAND,0640,2305,,1,Eve,Sat,24,LARCENY-FROM VEHICLE,Greenbriar,R,-84.487200000000001,33.691679999999998
5666922,160022557,01/02/2016,01/02/2016,18:30:00,01/02/2016,20:30:00,501,,,704 11TH ST NW,0640,2305,,1,Eve,Sat,18,LARCENY-FROM VEHICLE,Home Park,E,-84.410340000000005,33.782910000000001
5666867,160020932,01/02/2016,01/02/2016,00:01:00,01/02/2016,06:30:00,504,,,390 WILLIAMS ST NW,0640,2305,,1,Morn,Sat,18,LARCENY-FROM VEHICLE,Downtown,M,-84.390439999999998,33.765210000000003
5666901,160021784,01/02/2016,01/02/2016,04:00:00,01/02/2016,04:30:00,507,,,602 MARIETTA ST NW,0640,2305,,1,Morn,Sat,18,LARCENY-FROM VEHICLE,Downtown,M,-84.398870000000002,33.769509999999997
5666912,160022210,01/02/2016,01/02/2016,11:00:00,01/02/2016,18:00:00,508,,,320 WILLIAMS ST,0640,2305,,1,Day,Sat,18,LARCENY-FROM VEHICLE,Downtown,M,-84.390609999999995,33.76341
5666906,160021959,01/02/2016,01/02/2016,14:30:00,01/02/2016,17:15:00,508,,,366 WILLIAMS ST,0640,2305,,1,Eve,Sat,18,LARCENY-FROM VEHICLE,Downtown,M,-84.390479999999997,33.764569999999999
5666937,160022969,01/02/2016,01/02/2016,22:15:00,01/02/2016,23:37:00,601,,,1018 SAINT CHARLES AVE NE,0640,2305,,1,Eve,Sat,13,LARCENY-FROM VEHICLE,Virginia Highland,F,-84.354259999999996,33.775669999999998
5666942,160030027,01/03/2016,01/02/2016,18:00:00,01/02/2016,11:59:00,602,,,675 N HIGHLAND AVE NE,0640,2305,,1,Day,Sat,13,LARCENY-FROM VEHICLE,Poncey-Highland,N,-84.352069999999998,33.773049999999998
5666979,160031545,01/03/2016,01/02/2016,22:00:00,01/03/2016,15:00:00,107,APT,C10,390 W LAKE AVE NW,0650,2304,,1,Unk,Sun,18,LARCENY-FROM VEHICLE,Grove Park,J,-84.441090000000003,33.765610000000002
5667020,160040862,01/04/2016,01/02/2016,12:00:00,01/03/2016,09:00:00,207,,,2025 PEACHTREE RD NE @DARLINGTON APARTMEN,0640,2305,,1,Unk,Sat,18,LARCENY-FROM VEHICLE,,E,-84.391440000000003,33.809649999999998
5666944,160030065,01/03/2016,01/02/2016,20:00:00,01/03/2016,00:05:00,509,,,129 NORTH AVE NE,0640,2305,,1,Eve,Sat,18,LARCENY-FROM VEHICLE,Downtown,M,-84.383179999999996,33.771030000000003
5666945,160030073,01/03/2016,01/02/2016,18:00:00,01/03/2016,00:20:00,601,,,1033 N HIGHLAND AVE NE,0640,2305,,1,Eve,Sat,18,LARCENY-FROM VEHICLE,Virginia Highland,F,-84.354150000000004,33.782960000000003
5666955,160030799,01/03/2016,01/02/2016,23:00:00,01/03/2016,07:20:00,604,,363,49 BOULEVARD SE,0640,2305,,1,Morn,Sun,13,LARCENY-FROM VEHICLE,Sweet Auburn,M,-84.371859999999998,33.752749999999999
5674797,161112535,04/20/2016,01/02/2016,00:01:00,04/20/2016,19:04:00,308,,,2161 MORELAND AVE SE,0650,2304,,1,Unk,Unk,99,LARCENY-FROM VEHICLE,Norwood Manor,Z,-84.351950000000002,33.694980000000001
5666952,160030672,01/03/2016,01/02/2016,15:00:00,01/03/2016,05:00:00,203,,,1040 HUFF RD NW,0640,2305,,12,Eve,Sat,18,LARCENY-FROM VEHICLE,Blandtown,D,-84.422070000000005,33.788679999999999
5666908,160022005,01/02/2016,01/02/2016,16:50:00,01/02/2016,17:00:00,111,,,3335 MARTIN L KING JR DR DR,0640,2305,,2,Eve,Sat,,LARCENY-FROM VEHICLE,Adamsville,H,-84.496520000000004,33.755099999999999
5666910,160022048,01/02/2016,01/02/2016,17:15:00,01/02/2016,17:45:00,306,,,1919 METROPOLITAN PKWY SW,0640,2305,,2,Eve,Sat,24,LARCENY-FROM VEHICLE,Sylvan Hills,X,-84.410169999999994,33.702779999999997
5666861,160020208,01/02/2016,01/02/2016,00:30:00,01/02/2016,01:30:00,312,,Y26,50 MOUNT ZION RD SW,0640,2305,,2,Morn,Sat,26,LARCENY-FROM VEHICLE,Glenrose Heights,Z,-84.39067,33.672730000000001
5666931,160022730,01/02/2016,01/02/2016,21:00:00,01/02/2016,21:55:00,602,,,909 PONCE DE LEON AVE NE,0640,2305,,2,Eve,Sat,18,LARCENY-FROM VEHICLE,Poncey-Highland,N,-84.357669999999999,33.773470000000003
